127.0.0.1 - - [09/Jul/2022:18:12:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:12:34 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:12:35 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:12:46 +0530] "GET /Forward_To_Pages/calculation.jsp?value=1000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:12:46 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:12:59 +0530] "GET /Forward_To_Pages/calculation.jsp?value=9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:12:59 +0530] "GET /Forward_To_Pages/page1.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:10 +0530] "GET /Forward_To_Pages/calculation.jsp?value=99 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:10 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:24 +0530] "GET /Forward_To_Pages/calculation.jsp?value= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:24 +0530] "GET /Forward_To_Pages/ErrorPage.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:36 +0530] "GET /Forward_To_Pages/calculation.jsp?value=99 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:36 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:56 +0530] "GET /Forward_To_Pages/calculation.jsp?value=99 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:13:57 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:14:08 +0530] "GET /Forward_To_Pages/calculation.jsp?value=98 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:14:08 +0530] "GET /Forward_To_Pages/page2.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:16:12 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:16:58 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:17:01 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:17:52 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:18:50 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:19:30 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:21:21 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:23:10 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:23:14 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [09/Jul/2022:18:24:09 +0530] "GET /Forward_To_Pages/InputPage.jsp HTTP/1.1" 200 499
